ts_ns,bid_px,bid_qty,ask_px,ask_qty
1756090886674000000,-9223372036854775808,0,9223372036854775807,0
1756090886674000000,-9223372036854775808,0,9223372036854775807,0
1756090887374000000,-9223372036854775808,0,9223372036854775807,0
1756090887374000000,-9223372036854775808,0,9223372036854775807,0
1756090887374000000,-9223372036854775808,0,9223372036854775807,0
1756090887374000000,-9223372036854775808,0,9223372036854775807,0
1756090887474000000,-9223372036854775808,0,9223372036854775807,0
1756090887474000000,-9223372036854775808,0,9223372036854775807,0
1756090887474000000,-9223372036854775808,0,9223372036854775807,0
1756090887474000000,-9223372036854775808,0,9223372036854775807,0
1756090887474000000,-9223372036854775808,0,9223372036854775807,0
1756090887474000000,-9223372036854775808,0,9223372036854775807,0
1756090887474000000,-9223372036854775808,0,9223372036854775807,0
1756090887474000000,-9223372036854775808,0,9223372036854775807,0
1756090887574000000,-9223372036854775808,0,9223372036854775807,0
1756090887574000000,-9223372036854775808,0,9223372036854775807,0
1756090888175000000,-9223372036854775808,0,9223372036854775807,0
1756090888375000000,-9223372036854775808,0,9223372036854775807,0
1756090888375000000,-9223372036854775808,0,9223372036854775807,0
1756090888375000000,-9223372036854775808,0,9223372036854775807,0
1756090888375000000,-9223372036854775808,0,9223372036854775807,0
1756090888475000000,-9223372036854775808,0,9223372036854775807,0
1756090888475000000,-9223372036854775808,0,9223372036854775807,0
1756090888475000000,-9223372036854775808,0,9223372036854775807,0
1756090888475000000,-9223372036854775808,0,9223372036854775807,0
1756090888475000000,-9223372036854775808,0,9223372036854775807,0
1756090888775000000,-9223372036854775808,0,9223372036854775807,0
1756090888875000000,-9223372036854775808,0,9223372036854775807,0
1756090888975000000,-9223372036854775808,0,9223372036854775807,0
1756090888975000000,-9223372036854775808,0,9223372036854775807,0
1756090889375000000,-9223372036854775808,0,9223372036854775807,0
1756090889375000000,-9223372036854775808,0,9223372036854775807,0
1756090889375000000,-9223372036854775808,0,9223372036854775807,0
1756090889375000000,-9223372036854775808,0,9223372036854775807,0
1756090889476000000,-9223372036854775808,0,9223372036854775807,0
1756090889476000000,-9223372036854775808,0,9223372036854775807,0
1756090890176000000,-9223372036854775808,0,9223372036854775807,0
1756090890276000000,-9223372036854775808,0,9223372036854775807,0
1756090890276000000,-9223372036854775808,0,9223372036854775807,0
1756090890476000000,-9223372036854775808,0,9223372036854775807,0
1756090890476000000,-9223372036854775808,0,9223372036854775807,0
1756090890476000000,-9223372036854775808,0,9223372036854775807,0
1756090890476000000,-9223372036854775808,0,9223372036854775807,0
1756090890576000000,-9223372036854775808,0,9223372036854775807,0
1756090890576000000,-9223372036854775808,0,9223372036854775807,0
1756090890576000000,-9223372036854775808,0,9223372036854775807,0
1756090890576000000,-9223372036854775808,0,9223372036854775807,0
1756090891277000000,-9223372036854775808,0,9223372036854775807,0
1756090891477000000,-9223372036854775808,0,9223372036854775807,0
1756090891477000000,-9223372036854775808,0,9223372036854775807,0
1756090891477000000,-9223372036854775808,0,9223372036854775807,0
1756090891477000000,-9223372036854775808,0,9223372036854775807,0
1756090891577000000,-9223372036854775808,0,9223372036854775807,0
1756090891577000000,-9223372036854775808,0,9223372036854775807,0
1756090891577000000,-9223372036854775808,0,9223372036854775807,0
1756090891577000000,-9223372036854775808,0,9223372036854775807,0
1756090892178000000,-9223372036854775808,0,9223372036854775807,0
1756090892178000000,-9223372036854775808,0,9223372036854775807,0
1756090892478000000,-9223372036854775808,0,9223372036854775807,0
1756090892478000000,-9223372036854775808,0,9223372036854775807,0
1756090892478000000,-9223372036854775808,0,9223372036854775807,0
1756090892478000000,-9223372036854775808,0,9223372036854775807,0
1756090892478000000,-9223372036854775808,0,9223372036854775807,0
1756090892478000000,-9223372036854775808,0,9223372036854775807,0
1756090892478000000,-9223372036854775808,0,9223372036854775807,0
1756090892478000000,-9223372036854775808,0,9223372036854775807,0
1756090892578000000,-9223372036854775808,0,9223372036854775807,0
1756090892578000000,-9223372036854775808,0,9223372036854775807,0
1756090892578000000,-9223372036854775808,0,9223372036854775807,0
1756090892578000000,-9223372036854775808,0,9223372036854775807,0
1756090892578000000,-9223372036854775808,0,9223372036854775807,0
1756090892578000000,-9223372036854775808,0,9223372036854775807,0
1756090892878000000,-9223372036854775808,0,9223372036854775807,0
1756090892978000000,-9223372036854775808,0,9223372036854775807,0
1756090893078000000,-9223372036854775808,0,9223372036854775807,0
