ts_ns,type,side,price,qty
1756090827531000000,book,B,113231.69,0.04
1756090827531000000,book,A,113451.49,0.34373
1756090827531000000,book,A,113451.51,0.00028
1756090827631000000,book,B,113231.7,0.11762
1756090827631000000,book,B,113231.68,0.0
1756090827631000000,book,A,113451.48,0.59379
1756090827631000000,book,A,113451.5,0.0
1756090827631000000,book,A,141574.17,0.00027
1756090828131000000,book,A,113451.51,0.0
1756090828131000000,book,A,141574.17,0.00036
1756090828231000000,book,A,113451.47,0.00033
1756090828531000000,book,A,113451.47,0.04162
1756090828631000000,book,B,113231.69,0.0
1756090828631000000,book,A,113451.45,0.04129
1756090828631000000,book,A,113451.46,0.59379
1756090828631000000,book,A,113451.48,0.0
1756090828731000000,book,B,113231.7,0.0
1756090828731000000,book,B,113231.68,0.11762
1756090828731000000,book,A,113451.44,0.59379
1756090828731000000,book,A,113451.46,0.0
1756090829032000000,book,A,141574.17,0.00045
1756090829632000000,book,B,113231.69,0.04
1756090829632000000,book,A,113451.43,0.04129
1756090829632000000,book,A,113451.45,0.0
1756090829632000000,book,A,113451.47,0.00033
1756090829732000000,book,B,113231.7,0.11762
1756090829732000000,book,B,113231.68,0.0
1756090829732000000,book,A,113451.42,0.59379
1756090829732000000,book,A,113451.44,0.0
1756090830333000000,book,B,113152.48,0.1224
1756090830333000000,book,B,113152.46,0.0
1756090830333000000,book,A,113451.41,0.21741
1756090830333000000,book,A,113451.53,0.0
1756090830433000000,book,A,113451.4,0.59379
1756090830433000000,book,A,113451.42,0.0
1756090830633000000,book,B,113231.71,0.04
1756090830633000000,book,B,113231.69,0.0
1756090830633000000,book,A,113451.39,0.04129
1756090830633000000,book,A,113451.43,0.0
1756090830733000000,book,B,113231.72,0.11762
1756090830733000000,book,B,113231.7,0.0
1756090830733000000,book,A,113451.38,0.59379
1756090830733000000,book,A,113451.4,0.0
1756090830733000000,book,A,141574.17,0.00045
1756090830833000000,book,A,113451.37,0.00033
1756090830833000000,book,A,113451.47,0.0
1756090831233000000,book,B,113231.65,0.0
1756090831634000000,book,A,113451.49,0.0
1756090831734000000,book,B,113231.71,0.0
1756090831734000000,book,A,113451.35,0.04129
1756090831734000000,book,A,113451.36,0.34373
1756090831734000000,book,A,113451.39,0.0
1756090831834000000,book,B,113231.72,0.0
1756090831834000000,book,B,113231.68,0.11762
1756090831834000000,book,A,113451.34,0.59379
1756090831834000000,book,A,113451.38,0.0
1756090831934000000,book,B,113231.68,0.01752
1756090831934000000,book,B,113152.49,0.1001
1756090832034000000,book,A,141574.17,0.00045
1756090832434000000,book,A,113451.33,0.04461
1756090832534000000,book,B,113231.68,0.11762
1756090832534000000,book,B,113152.49,0.0
1756090832534000000,book,A,113451.32,0.59379
1756090832534000000,book,A,113451.34,0.0
1756090833135000000,book,A,113451.37,0.0
1756090833235000000,book,B,113231.69,0.04809
1756090833235000000,book,A,113451.31,0.04461
1756090833235000000,book,A,113451.35,0.0
1756090833335000000,book,B,113231.7,0.11762
1756090833335000000,book,B,113231.68,0.0
1756090833335000000,book,A,113451.3,0.59379
1756090833335000000,book,A,113451.32,0.0
1756090834235000000,book,B,113231.7,0.0
1756090834235000000,book,B,113231.69,0.00809
1756090834235000000,book,B,113017.04,0.0
1756090834235000000,book,A,113451.29,0.04461
1756090834235000000,book,A,113451.3,0.0
1756090834235000000,book,A,113451.31,0.0
1756090834235000000,book,A,113451.33,0.0
1756090834235000000,book,A,113619.99,0.0
1756090834235000000,book,A,113816.96,0.0
1756090834536000000,book,A,113451.28,0.00033
1756090835236000000,book,B,113231.69,0.04809
1756090835336000000,book,A,141574.17,0.00045
1756090835837000000,book,A,113451.36,0.0
1756090835937000000,book,B,113231.7,0.11787
1756090835937000000,book,B,113005.26,0.0001
1756090835937000000,book,A,113451.27,0.34373
1756090835937000000,book,A,113451.28,0.59412
1756090835937000000,book,A,113619.99,0.1001
1756090835937000000,book,A,113812.45,0.0001
1756090836037000000,book,A,113451.26,0.59379
1756090836037000000,book,A,113451.28,0.00033
1756090836237000000,book,B,113231.69,0.00809
1756090836237000000,book,B,113152.49,0.1224
1756090836237000000,book,B,113152.48,0.0
1756090836237000000,book,A,113451.24,0.04461
1756090836237000000,book,A,113451.25,0.21741
1756090836237000000,book,A,113451.29,0.0
1756090836237000000,book,A,113451.41,0.0
1756090836337000000,book,B,113231.7,0.01777
1756090836337000000,book,B,113152.5,0.1001
1756090836337000000,book,A,113451.23,0.59379
1756090836337000000,book,A,113451.26,0.0
1756090836537000000,book,B,113231.7,0.05777
1756090836537000000,book,A,113451.22,0.04461
1756090836537000000,book,A,141574.17,0.00045
1756090836637000000,book,A,113451.21,0.59379
1756090836637000000,book,A,113451.22,0.0
1756090836637000000,book,A,113451.23,0.0
1756090836737000000,book,A,113451.21,0.0
1756090836737000000,book,A,113451.23,0.59379
1756090837538000000,book,A,141574.17,0.00045
1756090837638000000,book,B,113092.53,0.0
1756090837738000000,book,B,113231.7,0.01777
1756090837738000000,book,B,113005.27,0.01024
1756090837738000000,book,B,112858.01,0.0
1756090837738000000,book,A,113451.22,0.00033
1756090837738000000,book,A,113451.28,0.0
1756090838138000000,book,A,113451.21,0.00028
1756090838138000000,book,A,113451.22,0.0
1756090838238000000,book,B,113056.78,0.00797
1756090838739000000,book,B,113231.7,0.05777
1756090838839000000,book,B,113231.71,0.1001
1756090838839000000,book,B,113152.5,0.0
1756090839139000000,book,B,113093.88,0.0292
1756090839139000000,book,A,141574.17,0.00036
1756090839239000000,book,B,113231.72,0.0044
1756090839239000000,book,B,113056.78,0.01033
1756090839339000000,book,B,113231.73,0.11787
1756090839339000000,book,B,113231.71,0.0
1756090839339000000,book,B,113231.7,0.04
1756090840140000000,book,B,113231.7,0.0
1756090840140000000,book,B,113231.69,0.0
1756090840140000000,book,B,113231.67,0.0
1756090840140000000,book,B,113152.5,0.0
1756090840140000000,book,B,113152.49,0.0
1756090840140000000,book,B,113152.48,0.1224
1756090840140000000,book,A,113451.18,0.21741
1756090840140000000,book,A,113451.19,0.04085
1756090840140000000,book,A,113451.2,0.0
1756090840140000000,book,A,113451.24,0.0
1756090840140000000,book,A,113451.25,0.0
1756090840240000000,book,B,113231.74,0.04
1756090840240000000,book,A,113451.17,0.63464
1756090840240000000,book,A,113451.23,0.0
1756090840240000000,book,A,141574.17,0.00027
1756090840340000000,book,B,113231.75,0.11787
1756090840340000000,book,B,113231.73,0.0
1756090840340000000,book,A,113451.16,0.04085
1756090840340000000,book,A,113451.17,0.59379
1756090840440000000,book,A,113451.15,0.59379
1756090840440000000,book,A,113451.17,0.0
1756090841341000000,book,B,113231.76,0.04
1756090841341000000,book,B,113231.74,0.0
1756090841341000000,book,A,113451.14,0.04159
1756090841341000000,book,A,113451.16,0.0
1756090841341000000,book,A,113451.19,0.0
1756090841441000000,book,B,113231.77,0.11787
1756090841441000000,book,B,113231.75,0.0
1756090841441000000,book,A,113451.13,0.59379
1756090841441000000,book,A,113451.15,0.0
1756090842141000000,book,B,113231.78,0.00721
1756090842141000000,book,B,113152.49,0.00783
1756090842241000000,book,B,113231.79,0.11787
1756090842241000000,book,B,113231.77,0.0
1756090842341000000,book,B,113231.8,0.04
1756090842341000000,book,B,113231.76,0.0
1756090842341000000,book,A,113451.12,0.04159
1756090842341000000,book,A,113451.14,0.0
1756090842441000000,book,B,113231.81,0.11787
1756090842441000000,book,B,113231.79,0.0
1756090842441000000,book,A,113451.11,0.59379
1756090842441000000,book,A,113451.13,0.0
1756090842642000000,book,A,113451.21,0.0
1756090842742000000,book,A,113451.1,0.00028
1756090842942000000,book,A,113543.13,0.0
1756090842942000000,book,A,113602.75,0.06612
1756090843042000000,book,A,113451.11,0.0
1756090843042000000,book,A,113528.35,0.59379
1756090843042000000,book,A,141574.17,0.00018
1756090844043000000,book,B,113231.8,0.0
1756090844143000000,book,B,113231.81,0.0
1756090844143000000,book,B,113231.8,0.04
1756090844143000000,book,B,113231.79,0.11787
1756090844243000000,book,B,113231.81,0.11787
1756090844243000000,book,B,113231.79,0.0
1756090844943000000,book,A,141574.17,9e-05
1756090845143000000,book,B,113231.8,0.0
1756090845143000000,book,B,113231.72,0.0
1756090845143000000,book,B,113152.5,0.1224
1756090845143000000,book,B,113152.48,0.0
1756090845143000000,book,A,113451.08,0.04159
1756090845143000000,book,A,113451.09,0.21741
1756090845143000000,book,A,113451.12,0.0
1756090845143000000,book,A,113451.18,0.0
1756090845243000000,book,B,113231.81,0.0
1756090845243000000,book,B,113231.79,0.11787
1756090845744000000,book,A,141574.17,0.0
1756090846144000000,book,B,113231.8,0.04
1756090846244000000,book,B,113231.81,0.11787
1756090846244000000,book,B,113231.79,0.0
1756090847145000000,book,B,113231.82,0.00483
1756090847145000000,book,B,113231.8,0.0
1756090847245000000,book,B,113231.83,0.11787
1756090847245000000,book,B,113231.82,0.04483
1756090847245000000,book,B,113231.81,0.0
1756090847245000000,book,A,113451.07,0.00028
1756090847245000000,book,A,113451.1,0.0
1756090847645000000,book,A,141574.17,9e-05
1756090847745000000,book,A,141574.17,0.00018
1756090848246000000,book,B,113231.82,0.00483
1756090849046000000,book,B,113231.84,0.04
1756090849146000000,book,B,113231.85,0.11787
1756090849146000000,book,B,113231.83,0.0
1756090850147000000,book,B,113231.84,0.0
1756090850247000000,book,B,113231.85,0.0
1756090850247000000,book,B,113231.84,0.04
1756090850247000000,book,B,113231.83,0.11787
1756090850347000000,book,B,113231.85,0.11787
1756090850347000000,book,B,113231.83,0.0
1756090850347000000,book,A,113451.27,0.0
1756090850447000000,book,A,113464.27,0.34373
