ts,side,price,qty,type,ts_ns
1756086309779000000,B,112500.01,0.1224,book,1756086309779000000
1756086309779000000,A,113060.01,0.04,book,1756086309779000000
1756086309779000000,A,113060.02,0.21741,book,1756086309779000000
1756086309779000000,A,113060.03,0.71188,book,1756086309779000000
1756086309779000000,A,113060.04,0.0,book,1756086309779000000
1756086309779000000,A,113060.05,0.0,book,1756086309779000000
1756086309879000000,B,112549.49,0.09997,book,1756086309879000000
1756086309879000000,B,112549.47,0.0,book,1756086309879000000
1756086309879000000,B,112500.02,0.1224,book,1756086309879000000
1756086309879000000,B,112500.01,0.0,book,1756086309879000000
1756086309879000000,A,113059.99,0.21741,book,1756086309879000000
1756086309879000000,A,113060.0,0.71188,book,1756086309879000000
1756086309879000000,A,113060.02,0.0,book,1756086309879000000
1756086309879000000,A,113060.03,0.0,book,1756086309879000000
1756086309979000000,B,112500.03,0.1224,book,1756086309979000000
1756086309979000000,B,112500.02,0.0,book,1756086309979000000
1756086309979000000,A,113059.97,0.21741,book,1756086309979000000
1756086309979000000,A,113059.98,0.75188,book,1756086309979000000
1756086309979000000,A,113059.99,0.0,book,1756086309979000000
1756086309979000000,A,113060.0,0.0,book,1756086309979000000
1756086309979000000,A,113060.01,0.0,book,1756086309979000000
1756086310079000000,A,113059.96,0.71188,book,1756086310079000000
1756086310079000000,A,113059.98,0.04,book,1756086310079000000
1756086310379000000,A,113059.95,0.00111,book,1756086310379000000
1756086310379000000,A,113060.09,0.0,book,1756086310379000000
1756086310479000000,B,112500.04,0.1224,book,1756086310479000000
1756086310479000000,B,112500.03,0.0,book,1756086310479000000
1756086310479000000,A,113059.93,0.21741,book,1756086310479000000
1756086310479000000,A,113059.94,0.1001,book,1756086310479000000
1756086310479000000,A,113059.96,0.61178,book,1756086310479000000
1756086310479000000,A,113059.97,0.0,book,1756086310479000000
1756086310579000000,A,113059.91,0.0,book,1756086310579000000
1756086310579000000,A,113059.92,0.71188,book,1756086310579000000
1756086310579000000,A,113059.94,0.0,book,1756086310579000000
1756086310579000000,A,113059.96,0.0,book,1756086310579000000
1756086310579000000,A,113060.06,0.0,book,1756086310579000000
1756086310879000000,B,112500.04,0.0,book,1756086310879000000
1756086310879000000,A,113059.91,0.00058,book,1756086310879000000
1756086310879000000,A,113059.93,0.0,book,1756086310879000000
1756086310879000000,A,113060.08,0.0,book,1756086310879000000
1756086310979000000,B,112549.48,0.0,book,1756086310979000000
1756086310979000000,B,112500.05,0.1224,book,1756086310979000000
1756086310979000000,A,113059.89,0.04,book,1756086310979000000
1756086310979000000,A,113059.9,0.21741,book,1756086310979000000
1756086310979000000,A,113059.92,0.0,book,1756086310979000000
1756086310979000000,A,113059.94,0.1001,book,1756086310979000000
1756086310979000000,A,113059.97,0.61178,book,1756086310979000000
1756086310979000000,A,113059.98,0.0,book,1756086310979000000
1756086311079000000,B,112549.49,0.0,book,1756086311079000000
1756086311079000000,B,112549.43,0.09997,book,1756086311079000000
1756086311079000000,A,113059.88,0.71188,book,1756086311079000000
1756086311079000000,A,113059.94,0.0,book,1756086311079000000
1756086311079000000,A,113059.97,0.0,book,1756086311079000000
1756086311180000000,A,140978.35,0.00036,book,1756086311180000000
1756086311280000000,A,140978.35,0.00036,book,1756086311280000000
1756086311580000000,A,140978.35,0.00045,book,1756086311580000000
1756086311980000000,B,112549.44,0.04047,book,1756086311980000000
1756086311980000000,A,113059.87,0.04,book,1756086311980000000
1756086311980000000,A,113059.89,0.0,book,1756086311980000000
1756086312080000000,B,112549.45,0.09997,book,1756086312080000000
1756086312080000000,B,112549.43,0.0,book,1756086312080000000
1756086312080000000,A,113059.86,0.71188,book,1756086312080000000
1756086312080000000,A,113059.88,0.0,book,1756086312080000000
1756086312481000000,B,112500.05,0.0,book,1756086312481000000
1756086312481000000,B,112380.0,0.005,book,1756086312481000000
1756086312481000000,B,112324.0,0.0,book,1756086312481000000
1756086312481000000,B,112268.0,0.0,book,1756086312481000000
1756086312481000000,B,112211.0,0.0,book,1756086312481000000
1756086312481000000,B,112186.0,0.1224,book,1756086312481000000
1756086312481000000,B,112043.0,0.0,book,1756086312481000000
1756086312481000000,B,111998.0,0.2471,book,1756086312481000000
1756086312481000000,B,111970.0,0.30759,book,1756086312481000000
1756086312481000000,B,111942.0,0.29849,book,1756086312481000000
1756086312481000000,B,111914.0,0.10126,book,1756086312481000000
1756086312481000000,B,111874.0,0.0,book,1756086312481000000
1756086312481000000,B,111532.0,0.0,book,1756086312481000000
1756086312481000000,B,111402.0,0.0,book,1756086312481000000
1756086312481000000,B,110587.0,0.0,book,1756086312481000000
1756086312481000000,B,109504.0,0.0,book,1756086312481000000
1756086312481000000,B,109196.0,0.0,book,1756086312481000000
1756086312481000000,A,113059.85,0.09721,book,1756086312481000000
1756086312481000000,A,113059.9,0.0,book,1756086312481000000
1756086312481000000,A,113234.0,0.0,book,1756086312481000000
1756086312481000000,A,113290.0,0.0,book,1756086312481000000
1756086312481000000,A,113347.0,0.0,book,1756086312481000000
1756086312481000000,A,113403.0,0.0,book,1756086312481000000
1756086312481000000,A,113614.0,0.25527,book,1756086312481000000
1756086312481000000,A,113642.0,0.29673,book,1756086312481000000
1756086312481000000,A,113670.0,0.30098,book,1756086312481000000
1756086312481000000,A,113693.0,0.0,book,1756086312481000000
1756086312481000000,A,113698.0,0.09851,book,1756086312481000000
1756086312481000000,A,113819.0,0.0,book,1756086312481000000
1756086312481000000,A,113965.0,0.0,book,1756086312481000000
1756086312481000000,A,114474.0,0.0,book,1756086312481000000
1756086312481000000,A,114895.0,0.0,book,1756086312481000000
1756086312481000000,A,115451.0,0.0,book,1756086312481000000
1756086312481000000,A,117486.0,0.0,book,1756086312481000000
1756086312581000000,A,113059.84,0.71188,book,1756086312581000000
1756086312581000000,A,113059.86,0.0,book,1756086312581000000
1756086312681000000,A,113059.85,0.0,book,1756086312681000000
1756086312781000000,A,113059.83,0.09721,book,1756086312781000000
1756086312781000000,A,113059.84,0.0,book,1756086312781000000
