ts,ts_ns,mid,inventory,cash,realized,unrealized,equity
2025-08-26 08:40:40+00:00,1756197640000000000,110139.54,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565568.3094926776
2025-08-26 08:40:41+00:00,1756197641000000000,110139.505,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565568.4879926775
2025-08-26 08:40:42+00:00,1756197642000000000,110139.47,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565568.6664926775
2025-08-26 08:40:43+00:00,1756197643000000000,110139.515,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565568.4369926775
2025-08-26 08:40:44+00:00,1756197644000000000,110139.54,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565568.3094926776
2025-08-26 08:40:45+00:00,1756197645000000000,110139.535,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565568.3349926776
2025-08-26 08:40:46+00:00,1756197646000000000,110139.56,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565568.2074926775
2025-08-26 08:40:47+00:00,1756197647000000000,110139.56,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565568.2074926775
2025-08-26 08:40:48+00:00,1756197648000000000,110139.555,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565568.2329926776
2025-08-26 08:40:49+00:00,1756197649000000000,110139.59,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565568.0544926776
2025-08-26 08:40:50+00:00,1756197650000000000,110139.595,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565568.0289926776
2025-08-26 08:40:51+00:00,1756197651000000000,110139.625,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.8759926775
2025-08-26 08:40:52+00:00,1756197652000000000,110139.62,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.9014926775
2025-08-26 08:40:53+00:00,1756197653000000000,110139.625,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.8759926775
2025-08-26 08:40:54+00:00,1756197654000000000,110139.645,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.7739926775
2025-08-26 08:40:55+00:00,1756197655000000000,110139.635,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.8249926775
2025-08-26 08:40:56+00:00,1756197656000000000,110139.675,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.6209926775
2025-08-26 08:40:57+00:00,1756197657000000000,110139.68,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.5954926775
2025-08-26 08:40:58+00:00,1756197658000000000,110139.705,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.4679926775
2025-08-26 08:40:59+00:00,1756197659000000000,110139.645,5.099999999999996,-563696.340108677,0.0,-986.2013840004794,-565567.7739926775
